ScientistName#preparation#date#components#Hash
Ланчеков Алексей Тимофеевич#Зылорик#0900-02-24#Chemical_63 Chemical_71 Chemical_40#1989
Ампипогов Михаил Юрьевич#Иммунивит#0901-02-23#Chemical_100 Chemical_6 Chemical_44#168
Тюлюлюева Анна Яковлевна#Нитросорбид#0902-11-21#Chemical_18 Chemical_69 Chemical_93#130
Неветруева Елена Эдуардовна#Гидрохлоротиазид#0903-09-18#Chemical_15 Chemical_82 Chemical_21#379
Курочкин Руслан Аркадиевич#Золедроновая кислота#0905-03-24#Chemical_44 Chemical_62 Chemical_73#455
Рутковский Антон Кириллович#Бактрим#0908-05-02#Chemical_19 Chemical_27 Chemical_68#1376
Шабунов Юрий Алексиевич#Парацетамол#0912-07-22#Chemical_41 Chemical_31 Chemical_39#1479
Кожетев Максим Аркадиевич#Алпразолам#0914-04-03#Chemical_26 Chemical_76 Chemical_16#1245
Хусаинов Антон Алексеевич#Росувастатин#0916-05-19#Chemical_89 Chemical_77 Chemical_35#1167
Вендеров Никита Тимофеевич#Витамин С#0924-02-08#Chemical_43 Chemical_97 Chemical_3#1090
Дергунская Яна Эдуардовна#Колчицин#0926-06-22#Chemical_70 Chemical_7 Chemical_23#180
Заботнов Анатолий Максимович#Тианептин#0926-11-12#Chemical_75 Chemical_98 Chemical_63#473
Рубинов Руслан Иванович#Рамиприл#0928-09-27#Chemical_38 Chemical_46 Chemical_16#177
Крючатов Ярослав Антонович#Миртазапин#0929-07-27#Chemical_51 Chemical_64 Chemical_70#484
Жебракова Полина Игоревна#Бисопролол#0932-08-16#Chemical_87 Chemical_27 Chemical_19#191
Данивецкая Виолетта Эдуардовна#Золедроновая кислота#0935-09-01#Chemical_37 Chemical_65 Chemical_92#429
Мятлев Георгий Денисович#Азитромицин#0938-12-20#Chemical_16 Chemical_14 Chemical_48#999
Нетунаев Руслан Петрович#Клопидогрел#0939-06-15#Chemical_99 Chemical_87 Chemical_25#950
Аранышев Иван Юрьевич#Тианептин#0940-07-17#Chemical_56 Chemical_60 Chemical_53#1128
Курмелев Леонид Николаевич#Спазмалгон#0949-06-08#Chemical_44 Chemical_43 Chemical_15#1845
Арончикова Вероника Викторовна#Живина#0949-11-22#Chemical_22 Chemical_91 Chemical_60#1572
Гизулина Галина Ивановна#Омепразол#0951-01-04#Chemical_9 Chemical_3 Chemical_59#1958
Мразевский Артём Викторович#Диклофенак#0953-10-01#Chemical_98 Chemical_9 Chemical_50#839
Окладнова Алена Максимовна#Агонал#0956-08-14#Chemical_26 Chemical_32 Chemical_27#744
Курыпина Анастасия Валерьевна#Золекс#0958-06-13#Chemical_1 Chemical_94 Chemical_63#446
Алтамонов Борис Аркадиевич#Оланзапин#0959-10-21#Chemical_57 Chemical_81 Chemical_21#903
Бардаева Анна Михайловна#Пароксетин#0960-12-26#Chemical_20 Chemical_65 Chemical_42#537
Родных Игорь Михаилович#Валидол#0961-06-17#Chemical_77 Chemical_45 Chemical_100#53
Маговский Константин Юриевич#Ацетилсалициловая кислота#0963-02-26#Chemical_73 Chemical_92 Chemical_9#684
Гергиев Олег Кириллович#Омепразол#0963-10-18#Chemical_6 Chemical_93 Chemical_45#376
Русалина Дарья Алексеевна#Ибупрофен#0968-10-24#Chemical_26 Chemical_30 Chemical_82#1095
Бухтулова Виктория Алексеевна#Бромгексин#0969-07-05#Chemical_72 Chemical_8 Chemical_45#126
Сабаткоев Федор Викторович#Нимесулид#0970-10-22#Chemical_55 Chemical_67 Chemical_74#1681
Шмитов Никита Игоревич#Левофлоксацин#0972-06-28#Chemical_41 Chemical_81 Chemical_61#1940
Стенцова Лиза Петровна#Диклофенак#0979-04-08#Chemical_65 Chemical_13 Chemical_29#1661
Ярычевский Максим Евгеньевич#Глюкозамин#0982-10-20#Chemical_34 Chemical_86 Chemical_88#631
Шкваркин Федор Юрьевич#Тианептин#0983-02-03#Chemical_67 Chemical_56 Chemical_43#1780
Магусумова Ирина Олеговна#Дикарбазин#0984-06-19#Chemical_51 Chemical_15 Chemical_2#65
Шаморкина Галина Федоровна#Кладрибин#0984-11-05#Chemical_61 Chemical_62 Chemical_48#1202
Цицеров Альберт Антонович#Небиволол#0989-06-20#Chemical_6 Chemical_48 Chemical_7#722
Улерьянова Ксения Евгеньевна#Диклофенак#0991-07-16#Chemical_1 Chemical_14 Chemical_96#544
Ханмурзина Карина Игоревна#Енап#0992-01-04#Chemical_21 Chemical_1 Chemical_34#1735
Гарская Евгения Никитична#Пилипен#0992-02-25#Chemical_2 Chemical_15 Chemical_11#1967
Гнетнев Григорий Денисович#Евалар солгар мультивитамини#0998-12-19#Chemical_12 Chemical_69 Chemical_99#1217
Бельцов Алексей Яковлевич#Ретардин#0999-04-28#Chemical_2 Chemical_23 Chemical_92#1007
Федурин Владимир Алексеевич#Амитриптилин#1000-10-15#Chemical_5 Chemical_75 Chemical_78#544
Акацков Анатолий Кириллович#Бетаин#1001-05-07#Chemical_73 Chemical_17 Chemical_48#1000
Кумакова Жанна Борисовна#Лоразепам#1002-05-22#Chemical_70 Chemical_36 Chemical_6#143
Кобызева Ольга Андреевна#Лантус#1004-04-20#Chemical_25 Chemical_64 Chemical_89#718
Кимятов Владимир Евгеньевич#Дектанол#1005-05-02#Chemical_43 Chemical_98 Chemical_34#1719
Милавина Виолетта Аркадьевна#Росувастатин#1008-12-26#Chemical_40 Chemical_57 Chemical_47#1225
Манетов Павел Павлович#Бисакодил#1014-01-22#Chemical_11 Chemical_13 Chemical_51#1457
Сайдакова Людмила Вадимовна#Мелоксикам#1015-01-18#Chemical_3 Chemical_23 Chemical_56#1189
Туржанский Семён Антонович#Уоллтапс#1016-09-01#Chemical_18 Chemical_78 Chemical_92#799
Цыпушкина Елена Андреевна#Енап#1018-11-14#Chemical_77 Chemical_69 Chemical_1#1186
Лунарева Ксения Алексеевна#Ранитидин#1022-11-17#Chemical_10 Chemical_97 Chemical_88#1380
Ивлюшин Георгий Николаевич#Амоксициллин#1023-04-07#Chemical_85 Chemical_54 Chemical_72#1264
Гудашов Юрий Алексиевич#Ибупрофен#1025-05-04#Chemical_7 Chemical_9 Chemical_40#475
Чачкин Владислав Денисович#Небиволол#1026-06-26#Chemical_85 Chemical_98 Chemical_94#1609
Тайдаков Виталий Романович#Габапентин#1026-12-09#Chemical_10 Chemical_61 Chemical_4#1044
Бояршинов Алексей Адамович#Ингавирин#1032-04-04#Chemical_32 Chemical_35 Chemical_22#351
Докшукина Оксана Петровна#Пилипен#1032-08-14#Chemical_93 Chemical_32 Chemical_8#703
Бганцева Клавдия Егоровна#Левофлоксацин#1032-10-19#Chemical_18 Chemical_16 Chemical_12#682
Чубокова Виолетта Валерьевна#Бактрим#1034-08-26#Chemical_6 Chemical_72 Chemical_15#414
Голощапов Станислав Яковлевич#Азитромицин#1034-12-01#Chemical_17 Chemical_73 Chemical_39#1147
Лукьянцев Эдуард Евгеньевич#Оксикодон#1035-08-27#Chemical_40 Chemical_66 Chemical_81#1294
Мазаркина Инна Сергеевна#Урсофальк#1037-07-04#Chemical_96 Chemical_27 Chemical_81#978
Иманалин Борис Кириллович#Сульфасалазин#1042-06-13#Chemical_53 Chemical_71 Chemical_80#334
Поканкина Марина Михайловна#Глюкозамин#1042-06-18#Chemical_2 Chemical_85 Chemical_55#1463
Такинова Жанна Эдуардовна#Тикалиптин#1045-01-13#Chemical_2 Chemical_60 Chemical_35#1303
Клецкина Виктория Яковлевна#Ёжик#1045-06-04#Chemical_32 Chemical_18 Chemical_21#160
Космынин Константин Павлович#Мидокалм#1051-12-04#Chemical_63 Chemical_19 Chemical_25#164
Курцапов Виктор Иванович#Витамин С#1056-07-16#Chemical_11 Chemical_22 Chemical_63#338
Шарафанова Виктория Егоровна#Протоник#1056-08-24#Chemical_9 Chemical_97 Chemical_88#752
Лушаков Руслан Василиевич#Омепразол#1057-06-18#Chemical_12 Chemical_17 Chemical_62#25
Балченкова Оксана Вадимовна#Ранитидин#1059-08-28#Chemical_9 Chemical_16 Chemical_4#1551
Комаровцев Михаил Максимович#Оксикодон#1060-03-02#Chemical_6 Chemical_45 Chemical_21#1552
Машурцева Алена Кирилловна#Левотироксин#1060-03-03#Chemical_42 Chemical_6 Chemical_92#134
Алшибекова Вероника Леонидовна#Преднизолон#1060-03-13#Chemical_64 Chemical_29 Chemical_68#228
Карликов Федор Викторович#Ацетилсалициловая кислота#1063-06-15#Chemical_56 Chemical_36 Chemical_38#111
Махначев Павел Максимович#Урсофальк#1063-08-08#Chemical_33 Chemical_5 Chemical_47#804
Мухоткин Валентин Кириллович#Пилипен#1068-05-23#Chemical_41 Chemical_17 Chemical_15#109
Ведмедова Раиса Дмитриевна#Бетаин#1072-09-24#Chemical_78 Chemical_84 Chemical_23#625
Отовина Любовь Игоревна#Индометацин#1072-11-13#Chemical_44 Chemical_90 Chemical_85#416
Алавердиев Степан Олегович#Росувастатин#1074-07-16#Chemical_8 Chemical_73 Chemical_53#1557
Хотькова Виктория Игоревна#Сертралин#1077-04-05#Chemical_77 Chemical_22 Chemical_2#1069
Болхова Яна Никитична#Валидол#1080-12-09#Chemical_27 Chemical_66 Chemical_94#1965
Савыкин Геннадий Георгиевич#Тианептин#1088-02-23#Chemical_46 Chemical_14 Chemical_72#2010
Бобова Марина Вадимовна#Виагра#1090-11-18#Chemical_33 Chemical_16 Chemical_31#644
Будрецова Клавдия Вадимовна#Сертралин#1091-06-24#Chemical_61 Chemical_38 Chemical_92#217
Мятов Алексей Юриевич#Рамиприл#1092-10-21#Chemical_72 Chemical_56 Chemical_10#1917
Кувецкая Валерия Леонидовна#Гидрохлоротиазид#1097-08-05#Chemical_17 Chemical_69 Chemical_59#560
Буралкина Екатерина Аркадьевна#Омега-3 кислоты#1103-03-12#Chemical_72 Chemical_28 Chemical_90#409
Хихеткин Артур Евгеньевич#Азитромицин#1104-12-05#Chemical_39 Chemical_80 Chemical_63#510
Майоркин Николай Фёдорович#Бисакодил#1106-01-17#Chemical_8 Chemical_2 Chemical_54#587
Кудисов Леонид Фёдорович#Триптаны#1106-11-23#Chemical_14 Chemical_99 Chemical_4#1266
Калмыков Эдуард Георгиевич#Лоразепам#1107-06-25#Chemical_59 Chemical_99 Chemical_20#1007
Бетова Наталья Василевна#Дектанол#1107-09-26#Chemical_38 Chemical_61 Chemical_89#745
Искуснова Алла Максимовна#Золедроновая кислота#1109-04-27#Chemical_80 Chemical_10 Chemical_51#1263
Ващугина Надежда Петровна#Метформин#1114-02-27#Chemical_11 Chemical_45 Chemical_38#882
Каинкова Виктория Валерьевна#Амлодипин#1115-02-04#Chemical_3 Chemical_98 Chemical_89#740
Заиров Кирилл Максимович#Пропанолол#1115-03-22#Chemical_27 Chemical_70 Chemical_95#1289
