ScientistName#preparation#date#components#Login#Password
Ланчеков Алексей Тимофеевич#Зылорик#0900-02-24#Chemical_63 Chemical_71 Chemical_40#Ланчеков_АТ#3t6lbl0p892b15yaz704p
Ампипогов Михаил Юрьевич#Иммунивит#0901-02-23#Chemical_100 Chemical_6 Chemical_44#Ампипогов_МЮ#6wee30pt427pj9u5lg081
Тюлюлюева Анна Яковлевна#Нитросорбид#0902-11-21#Chemical_18 Chemical_69 Chemical_93#Тюлюлюева_АЯ#k45dxxt0ml831y609f7r2
Неветруева Елена Эдуардовна#Гидрохлоротиазид#0903-09-18#Chemical_15 Chemical_82 Chemical_21#Неветруева_ЕЭ#65tle793y8041o2i0iwzv
Курочкин Руслан Аркадиевич#Золедроновая кислота#0905-03-24#Chemical_44 Chemical_62 Chemical_73#Курочкин_РА#7f05x0ic19u46n3qvu28q
Рутковский Антон Кириллович#Бактрим#0908-05-02#Chemical_19 Chemical_27 Chemical_68#Рутковский_АК#7k102k9qv3v68u40k5abq
Шабунов Юрий Алексиевич#Парацетамол#0912-07-22#Chemical_41 Chemical_31 Chemical_39#Шабунов_ЮА#2061nl8jrdxh034sh59k7
Кожетев Максим Аркадиевич#Алпразолам#0914-04-03#Chemical_26 Chemical_76 Chemical_16#Кожетев_МА#05qkjd4p378np0j19z26z
Хусаинов Антон Алексеевич#Росувастатин#0916-05-19#Chemical_89 Chemical_77 Chemical_35#Хусаинов_АА#5l9b04t7n1bp302tshs68
Вендеров Никита Тимофеевич#Витамин С#0924-02-08#Chemical_43 Chemical_97 Chemical_3#Вендеров_НТ#65vqo28043chp9ke0nr71
Дергунская Яна Эдуардовна#Колчицин#0926-06-22#Chemical_70 Chemical_7 Chemical_23#Дергунская_ЯЭ#00k7c54tpopn6x8z2139g
Заботнов Анатолий Максимович#Тианептин#0926-11-12#Chemical_75 Chemical_98 Chemical_63#Заботнов_АМ#j8d1x4kr2o7ck00639sv5
Рубинов Руслан Иванович#Рамиприл#0928-09-27#Chemical_38 Chemical_46 Chemical_16#Рубинов_РИ#4q1370902w5yma6hffs8e
Крючатов Ярослав Антонович#Миртазапин#0929-07-27#Chemical_51 Chemical_64 Chemical_70#Крючатов_ЯА#h3t20k5749l68ee1x0dmj
Жебракова Полина Игоревна#Бисопролол#0932-08-16#Chemical_87 Chemical_27 Chemical_19#Жебракова_ПИ#1gu067kj05j9tr84fcd32
Данивецкая Виолетта Эдуардовна#Золедроновая кислота#0935-09-01#Chemical_37 Chemical_65 Chemical_92#Данивецкая_ВЭ#8rh21vbpzq96r7x043p50
Мятлев Георгий Денисович#Азитромицин#0938-12-20#Chemical_16 Chemical_14 Chemical_48#Мятлев_ГД#9zjrez8etv6720150qc43
